tile_size,3,,,,,
tile,g,res/meshes/grass.obj,,,,
tile,g_up,res/meshes/grass_rise.obj,,,,
tile,g_dn,res/meshes/grass_dip.obj,,,,
tile,r,res/meshes/river.obj,,,,
tile,rc,res/meshes/river_corner.obj,,,,
tile,c,res/meshes/cliff_top.obj,,,,
tile,cc,res/meshes/cliff_top_corner.obj,,,,
tile,w,res/meshes/waterfall_top.obj,,,,
grid,,,,,,
cc:180,c:180,c:180,c:180,w:180,c:180,cc:90
c:270,g,g,g,r,g,c:90
c:270,g,g_up,g,r,g,c:90
c:270,g_dn,g,g,r,g,c:90
c:270,g,rc:90,r:90,rc:270,g,c:90
c:270,g,r,g,g,g,c:90
c:270,g,r,g_up,g,g_dn,c:90
c:270,g,r,g,g_up,g,c:90
c:270,g,r,g,g,g,c:90
cc:270,c,w,c,c,c,cc
